Source,Target,Weight,Type
luc_phars_1,luc_phars_2,55,undirected
luc_phars_1,luc_phars_3,60,undirected
luc_phars_1,luc_phars_4,2,undirected
luc_phars_1,luc_phars_6,3,undirected
luc_phars_1,luc_phars_7,43,undirected
luc_phars_10,luc_phars_5,48,undirected
luc_phars_10,luc_phars_6,1,undirected
luc_phars_10,luc_phars_8,55,undirected
luc_phars_10,luc_phars_9,44,undirected
luc_phars_2,luc_phars_1,55,undirected
luc_phars_2,luc_phars_3,74,undirected
luc_phars_2,luc_phars_4,45,undirected
luc_phars_2,luc_phars_5,73,undirected
luc_phars_2,luc_phars_7,73,undirected
luc_phars_2,luc_phars_8,6,undirected
luc_phars_3,luc_phars_1,60,undirected
luc_phars_3,luc_phars_2,74,undirected
luc_phars_3,luc_phars_4,118,undirected
luc_phars_3,luc_phars_5,15,undirected
luc_phars_3,luc_phars_6,8,undirected
luc_phars_3,luc_phars_7,1,undirected
luc_phars_4,luc_phars_1,2,undirected
luc_phars_4,luc_phars_2,45,undirected
luc_phars_4,luc_phars_3,118,undirected
luc_phars_4,luc_phars_5,52,undirected
luc_phars_4,luc_phars_6,42,undirected
luc_phars_4,luc_phars_7,7,undirected
luc_phars_4,luc_phars_9,1,undirected
luc_phars_5,luc_phars_10,48,undirected
luc_phars_5,luc_phars_2,73,undirected
luc_phars_5,luc_phars_3,15,undirected
luc_phars_5,luc_phars_4,52,undirected
luc_phars_5,luc_phars_6,1,undirected
luc_phars_5,luc_phars_7,8,undirected
luc_phars_5,luc_phars_8,93,undirected
luc_phars_5,luc_phars_9,12,undirected
luc_phars_6,luc_phars_1,3,undirected
luc_phars_6,luc_phars_10,1,undirected
luc_phars_6,luc_phars_3,8,undirected
luc_phars_6,luc_phars_4,42,undirected
luc_phars_6,luc_phars_5,1,undirected
luc_phars_6,luc_phars_7,44,undirected
luc_phars_6,luc_phars_9,75,undirected
luc_phars_7,luc_phars_1,43,undirected
luc_phars_7,luc_phars_2,73,undirected
luc_phars_7,luc_phars_3,1,undirected
luc_phars_7,luc_phars_4,7,undirected
luc_phars_7,luc_phars_5,8,undirected
luc_phars_7,luc_phars_6,44,undirected
luc_phars_7,luc_phars_8,26,undirected
luc_phars_7,luc_phars_9,1,undirected
luc_phars_8,luc_phars_10,55,undirected
luc_phars_8,luc_phars_2,6,undirected
luc_phars_8,luc_phars_5,93,undirected
luc_phars_8,luc_phars_7,26,undirected
luc_phars_8,luc_phars_9,114,undirected
luc_phars_9,luc_phars_10,44,undirected
luc_phars_9,luc_phars_4,1,undirected
luc_phars_9,luc_phars_5,12,undirected
luc_phars_9,luc_phars_6,75,undirected
luc_phars_9,luc_phars_7,1,undirected
luc_phars_9,luc_phars_8,114,undirected
sen_ag,sen_her_f,7,undirected
sen_ag,sen_med,5,undirected
sen_ag,sen_oct,20,undirected
sen_ag,sen_oed,69,undirected
sen_ag,sen_phaed,12,undirected
sen_ag,sen_tro,85,undirected
sen_her_f,sen_ag,7,undirected
sen_her_f,sen_her_o,119,undirected
sen_her_f,sen_med,7,undirected
sen_her_f,sen_oct,16,undirected
